Model,True Negatives,False Positives,False Negatives,True Positives,Confusion Matrix,Results Plot Path,Plots Folder Path
Logistic Regression,21,7,5,28,"[[21, 7], [5, 28]]",C:\Users\olsas\OneDrive\Desktop\HealthGuard\healthguard-platform\ml\results\confusion_matrix_logistic_regression.png,C:\Users\olsas\OneDrive\Desktop\HealthGuard\healthguard-platform\ml\results\plots\confusion_matrix_logistic_regression.png
Decision Tree,18,10,4,29,"[[18, 10], [4, 29]]",C:\Users\olsas\OneDrive\Desktop\HealthGuard\healthguard-platform\ml\results\confusion_matrix_decision_tree.png,C:\Users\olsas\OneDrive\Desktop\HealthGuard\healthguard-platform\ml\results\plots\confusion_matrix_decision_tree.png
KNN,20,8,5,28,"[[20, 8], [5, 28]]",C:\Users\olsas\OneDrive\Desktop\HealthGuard\healthguard-platform\ml\results\confusion_matrix_knn.png,C:\Users\olsas\OneDrive\Desktop\HealthGuard\healthguard-platform\ml\results\plots\confusion_matrix_knn.png
Random Forest,19,9,6,27,"[[19, 9], [6, 27]]",C:\Users\olsas\OneDrive\Desktop\HealthGuard\healthguard-platform\ml\results\confusion_matrix_random_forest.png,C:\Users\olsas\OneDrive\Desktop\HealthGuard\healthguard-platform\ml\results\plots\confusion_matrix_random_forest.png
Logistic Regression with Feature Selection,22,6,6,27,"[[22, 6], [6, 27]]",C:\Users\olsas\OneDrive\Desktop\HealthGuard\healthguard-platform\ml\results\confusion_matrix_logistic_regression_with_feature_selection.png,C:\Users\olsas\OneDrive\Desktop\HealthGuard\healthguard-platform\ml\results\plots\confusion_matrix_logistic_regression_with_feature_selection.png
Decision Tree with Feature Selection,20,8,7,26,"[[20, 8], [7, 26]]",C:\Users\olsas\OneDrive\Desktop\HealthGuard\healthguard-platform\ml\results\confusion_matrix_decision_tree_with_feature_selection.png,C:\Users\olsas\OneDrive\Desktop\HealthGuard\healthguard-platform\ml\results\plots\confusion_matrix_decision_tree_with_feature_selection.png
KNN with Feature Selection,21,7,5,28,"[[21, 7], [5, 28]]",C:\Users\olsas\OneDrive\Desktop\HealthGuard\healthguard-platform\ml\results\confusion_matrix_knn_with_feature_selection.png,C:\Users\olsas\OneDrive\Desktop\HealthGuard\healthguard-platform\ml\results\plots\confusion_matrix_knn_with_feature_selection.png
Random Forest with Feature Selection,20,8,5,28,"[[20, 8], [5, 28]]",C:\Users\olsas\OneDrive\Desktop\HealthGuard\healthguard-platform\ml\results\confusion_matrix_random_forest_with_feature_selection.png,C:\Users\olsas\OneDrive\Desktop\HealthGuard\healthguard-platform\ml\results\plots\confusion_matrix_random_forest_with_feature_selection.png
Neural Network Architecture 1,21,7,9,24,"[[21, 7], [9, 24]]",C:\Users\olsas\OneDrive\Desktop\HealthGuard\healthguard-platform\ml\results\confusion_matrix_neural_network_architecture_1.png,C:\Users\olsas\OneDrive\Desktop\HealthGuard\healthguard-platform\ml\results\plots\confusion_matrix_neural_network_architecture_1.png
Neural Network Architecture 2,21,7,5,28,"[[21, 7], [5, 28]]",C:\Users\olsas\OneDrive\Desktop\HealthGuard\healthguard-platform\ml\results\confusion_matrix_neural_network_architecture_2.png,C:\Users\olsas\OneDrive\Desktop\HealthGuard\healthguard-platform\ml\results\plots\confusion_matrix_neural_network_architecture_2.png
