Overall Rank,Feature,Logistic Regression Coefficient,Logistic Regression Absolute Importance,Logistic Regression Direction,Random Forest Importance,Combined Importance,Logistic Regression Rank,Random Forest Rank
1,cp,0.2844612348372237,0.2844612348372237,Increases predicted risk,0.21020382283687206,1.0,1,1
2,thalach,0.21128232066769714,0.21128232066769714,Increases predicted risk,0.13639497279487608,0.6958078260964917,4,3
3,ca,-0.2141820638724578,0.2141820638724578,Decreases predicted risk,0.13379044590253458,0.6947094885873748,3,4
4,thal,-0.1907132828724411,0.1907132828724411,Decreases predicted risk,0.13785882027361143,0.6631354200844848,5,2
5,exang,-0.224807394038263,0.224807394038263,Decreases predicted risk,0.11208423566961173,0.6617543840007776,2,5
6,oldpeak,-0.1811604358191446,0.1811604358191446,Decreases predicted risk,0.0879848491515691,0.52771188981938,7,6
7,sex,-0.18838194330317826,0.18838194330317826,Decreases predicted risk,0.03813164018911795,0.4218221749913652,6,8
8,slope,0.12688846645649723,0.12688846645649723,Increases predicted risk,0.03347936195583051,0.3026684406618314,8,9
9,age,-0.055898997840898454,0.055898997840898454,Decreases predicted risk,0.0420864738389971,0.19836288339582397,11,7
10,chol,-0.054735245547232164,0.054735245547232164,Decreases predicted risk,0.031511560230965394,0.171163394125805,12,10
11,trestbps,-0.05672903250433449,0.05672903250433449,Decreases predicted risk,0.0201850571232749,0.1477261755763202,10,11
12,restecg,0.0644673684566898,0.0644673684566898,Increases predicted risk,0.012190602628755244,0.14231195748925862,9,12
13,fbs,-0.02382487978727208,0.02382487978727208,Decreases predicted risk,0.004098157403984088,0.05162525585529217,13,13
